,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,29,10,8,17,58,29,37,69,72,59,75,79,38,3,11,5,1,85,71,97,7,22,98,55,66,56,47,96,32,39,77,80,80,70,43,78,62,94,66,34,59,0,23,61,69,38,41,76,73,71,27,23,51,74,3,12,78,32,84,10,96,67,64,44,44,25,30,86,53,13,70,66,39,84,6,68,67,28,36,66,54,56,26,72,72,96,59,14,22,63,87,68,41,80,3,63,71,54,3
1,33,30,94,49,54,12,70,88,81,53,25,9,0,75,98,70,13,69,33,10,58,35,81,18,78,79,81,45,11,40,41,11,44,40,31,16,35,19,23,46,60,15,50,6,88,50,38,81,20,78,62,61,30,99,9,16,52,28,30,71,21,10,20,26,47,98,86,7,78,83,44,83,87,89,98,70,40,2,71,44,71,91,17,94,35,38,58,55,86,56,19,73,46,8,40,95,17,93,69
2,95,26,65,72,48,96,22,81,74,67,6,83,40,49,8,62,87,40,15,71,95,98,6,13,75,8,2,54,44,95,80,35,50,41,74,49,60,27,0,69,81,60,69,73,78,83,21,79,99,37,74,21,64,45,90,95,33,98,43,65,72,29,4,74,6,64,12,72,23,80,99,75,64,93,4,17,94,66,29,19,0,56,36,48,16,93,26,85,11,33,76,42,77,14,85,15,65,70,97
3,89,87,8,92,5,89,65,85,14,78,16,59,75,26,41,85,79,70,60,70,92,82,65,50,76,64,33,66,31,34,7,97,11,43,91,9,66,81,81,78,18,39,43,73,1,68,73,80,44,80,27,25,9,73,89,35,45,85,4,75,80,2,35,98,56,41,91,85,40,54,82,59,38,99,95,28,20,80,71,26,29,45,78,58,46,79,71,73,92,89,41,17,70,45,16,8,24,35,9
4,98,67,72,82,59,81,84,8,18,35,99,7,30,89,96,35,53,19,76,65,80,55,96,87,62,40,57,34,66,70,78,90,19,66,96,70,66,2,88,44,52,55,43,95,94,82,74,75,57,18,97,81,63,40,20,53,68,76,63,95,15,44,31,46,76,7,98,84,68,26,0,44,83,77,25,14,73,48,66,33,66,14,35,96,90,37,43,21,63,44,70,26,81,54,90,78,33,43,41
5,11,85,87,66,73,12,36,89,37,18,1,99,61,54,7,33,57,82,70,86,84,40,23,46,98,96,30,48,66,90,27,44,25,47,83,28,48,47,6,2,78,21,96,0,47,80,81,20,53,76,24,7,31,39,89,16,90,37,67,42,89,11,99,79,60,23,24,69,7,27,76,5,68,88,83,13,22,62,77,86,90,67,53,59,51,74,88,75,92,79,60,32,94,4,72,24,75,15,74
6,14,41,52,19,33,17,10,41,29,12,4,7,49,85,85,58,91,0,64,13,2,40,6,10,78,38,5,5,68,4,1,99,25,3,50,94,32,30,93,49,21,60,8,84,22,96,62,49,72,96,77,88,26,50,65,31,58,54,9,30,64,21,84,89,79,84,72,59,98,32,26,88,42,52,51,36,69,96,3,43,88,66,66,52,48,81,94,60,29,78,84,26,48,99,63,29,0,92,8
7,95,46,86,71,98,8,53,46,31,10,24,67,32,1,2,97,10,52,20,13,87,7,72,81,37,61,46,78,35,16,12,14,0,58,18,69,43,21,38,4,51,62,25,89,7,58,96,81,72,39,93,2,66,78,72,25,72,51,82,1,59,41,33,29,83,70,31,0,50,67,18,80,61,74,81,83,77,55,66,43,71,79,40,18,91,31,89,97,1,39,53,19,94,64,80,13,29,1,0
8,44,60,37,99,98,60,42,76,50,67,20,54,46,11,26,9,31,33,96,23,4,15,5,98,25,73,83,99,34,69,80,57,64,77,9,10,66,40,3,26,38,57,22,77,73,14,65,67,11,52,1,35,52,29,21,53,92,61,49,87,84,45,89,82,37,86,88,33,64,20,60,52,16,47,65,58,19,63,40,35,29,83,19,90,40,88,15,87,56,67,68,71,13,46,70,90,1,34,13
9,90,29,52,41,74,61,26,30,83,11,94,79,60,24,72,66,11,34,75,57,61,9,17,94,82,74,71,45,85,51,84,66,48,68,37,86,42,19,83,66,22,22,8,95,8,61,26,6,18,18,13,10,75,58,57,33,29,68,73,93,84,3,37,80,43,60,89,63,36,65,70,24,58,52,13,29,75,40,77,27,94,31,59,40,7,56,61,36,37,51,44,98,89,26,79,11,23,66,41
