,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,61,61,16,60,56,97,93,60,40,87,76,12,87,38,70,11,25,36,76,32,15,78,24,16,23,7,75,53,37,36,90,73,5,20,57,0,26,7,50,35,19,29,4,91,89,48,30,89,40,97,54,93,4,46,41,57,60,28,67,35,37,63,21,39,40,90,89,56,83,31,44,34,65,23,16,32,83,1,10,59,15,13,75,37,62,89,71,95,65,70,71,73,82,96,23,88,58,34,78
1,68,61,85,1,5,39,70,57,51,29,88,26,84,37,20,90,99,94,92,4,33,63,14,68,76,78,38,97,67,67,30,43,61,52,87,48,34,41,76,52,28,98,78,2,81,38,66,55,1,10,62,32,12,74,50,41,52,57,25,62,23,27,84,32,83,37,77,10,47,20,74,50,19,70,66,64,70,89,51,99,2,17,45,50,59,74,23,55,41,38,80,12,16,30,45,76,6,2,72
2,32,23,45,35,19,99,23,67,13,76,0,89,58,93,75,57,90,20,2,72,29,37,16,17,77,38,40,39,22,99,75,3,87,62,53,93,43,15,85,54,42,85,84,20,71,74,54,90,98,39,12,9,51,29,23,48,82,49,61,99,95,57,84,97,49,48,99,2,51,55,1,91,28,48,12,99,60,49,10,21,51,74,41,18,1,18,53,38,82,29,50,39,4,45,23,91,18,95,84
3,51,48,54,48,7,58,42,52,91,49,64,4,38,77,75,49,56,58,5,84,24,14,58,18,0,39,68,56,81,36,44,4,72,50,19,82,26,14,95,22,49,2,0,27,82,34,20,78,78,20,9,72,81,91,32,64,61,28,22,32,49,14,93,35,20,36,15,69,36,91,96,86,44,12,33,79,57,67,84,76,38,43,13,64,0,98,5,81,58,56,98,66,29,18,74,8,97,16,47
4,35,68,89,9,17,56,62,46,37,86,1,30,4,36,56,99,60,59,80,65,38,97,13,86,13,57,40,81,2,39,93,67,76,24,15,23,85,33,72,32,43,75,60,61,11,97,86,99,35,84,64,66,68,16,94,31,18,71,95,79,35,15,41,12,31,22,17,99,37,74,47,61,10,87,62,12,74,2,61,82,36,43,39,72,74,77,51,53,46,22,17,35,28,28,50,10,57,23,21
5,98,91,8,54,65,81,54,86,73,81,1,33,93,97,35,18,73,68,45,84,78,57,74,10,21,63,66,16,40,40,86,28,24,34,28,50,36,96,88,95,82,45,61,87,90,15,91,97,45,78,18,38,67,90,85,20,76,34,68,94,55,91,69,69,26,35,25,97,55,88,66,93,99,45,30,60,3,28,34,5,10,25,94,81,33,88,74,14,10,79,94,29,41,26,41,81,26,85,71
6,21,57,42,93,16,15,0,23,27,52,41,36,67,53,25,46,68,95,38,73,61,89,45,97,26,44,22,61,14,0,89,99,74,59,57,78,37,96,91,5,10,42,32,2,22,12,15,76,48,0,67,50,88,7,19,73,92,5,30,21,95,20,1,77,37,19,75,87,15,20,56,2,21,90,74,27,93,34,18,56,23,87,19,83,42,32,25,17,6,29,63,32,59,96,61,80,29,5,81
7,19,1,34,56,27,7,50,15,83,92,49,30,41,28,17,55,16,8,82,9,68,77,12,28,20,33,48,94,32,71,12,63,57,20,59,85,13,12,41,28,52,74,21,61,5,25,26,49,42,63,36,48,25,60,43,65,89,76,93,68,41,94,21,17,52,72,42,0,8,3,36,96,21,3,11,21,72,48,87,5,62,6,39,8,37,92,52,37,22,15,85,92,36,37,69,90,98,24,81
8,62,11,26,97,60,58,76,28,5,70,40,42,95,12,17,49,93,84,81,17,46,45,54,25,66,45,64,3,64,12,39,74,98,62,89,96,70,78,3,60,90,20,62,35,2,85,77,26,96,45,90,28,91,71,34,27,46,73,78,76,52,94,27,66,22,44,76,44,77,89,76,54,81,74,37,60,49,35,45,91,90,40,13,61,82,99,5,25,29,19,91,1,9,48,79,80,61,27,78
9,47,69,56,56,91,4,34,85,73,5,21,19,76,66,65,86,93,29,86,95,32,60,54,28,85,23,13,78,98,83,62,55,49,3,97,35,30,82,64,20,39,26,55,59,75,68,30,76,60,84,73,78,43,79,22,78,67,98,31,4,63,60,13,60,72,98,73,42,75,72,99,71,30,21,34,60,98,34,80,68,93,35,53,23,14,59,11,42,34,41,15,67,17,54,88,91,48,59,46
