0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
394,325,890,663,198,66,533,579,493,218,800,172,663,248,411,51,827,379,135,6
210,921,197,513,274,147,402,632,998,726,867,996,587,658,169,891,89,677,293,3
790,232,798,924,250,534,109,779,743,984,675,255,875,468,634,386,293,482,935,377
970,340,655,735,638,103,489,398,47,288,242,323,578,876,896,931,853,853,478,485
358,767,303,297,965,957,494,941,805,974,689,397,191,594,919,686,564,712,725,674
713,37,50,700,455,168,74,441,312,498,992,355,560,948,989,270,708,947,733,895
861,240,45,654,678,308,93,977,612,30,130,699,818,351,268,22,739,595,926,834
867,670,913,409,894,194,391,0,217,584,218,500,217,53,829,571,781,328,993,636
187,224,694,867,946,453,103,634,251,336,13,268,845,593,730,161,87,569,383,439
485,841,675,199,584,512,912,681,220,827,77,730,567,64,520,229,390,959,160,106
233,518,148,817,286,893,52,416,240,903,772,636,743,345,732,760,649,398,798,832
192,393,497,511,268,50,866,181,412,810,634,377,817,440,366,434,731,22,200,214
122,889,863,342,39,19,364,725,105,908,532,193,304,9,547,88,721,504,523,711
945,576,721,233,820,922,930,850,845,483,372,632,59,157,300,771,132,782,153,161
178,800,892,742,701,194,143,715,291,448,603,361,486,347,918,872,942,593,56,497
985,413,225,971,792,410,64,669,688,878,124,701,106,828,185,188,149,607,432,39
877,945,28,696,785,453,902,6,71,556,984,485,820,922,684,349,739,658,761,107
924,681,523,414,153,77,87,717,823,152,806,628,867,952,378,183,29,673,957,630
872,26,388,842,151,351,297,731,389,71,59,191,522,787,442,966,995,353,696,934
180,621,446,284,825,593,784,969,968,617,264,280,406,893,902,563,577,439,473,564
774,751,943,146,879,113,755,325,436,880,793,295,339,831,577,360,499,642,462,725
609,648,502,929,912,605,584,291,341,659,197,393,253,932,214,470,436,361,649,776
428,789,967,465,805,238,896,33,934,304,355,827,588,221,514,528,962,955,87,758
189,962,196,577,500,285,385,791,307,645,261,634,92,651,313,49,360,385,959,598
322,83,153,592,446,362,595,558,873,97,586,833,582,196,867,808,544,890,681,18
729,58,433,834,928,787,829,348,473,59,448,835,770,507,718,774,100,446,578,101
364,494,734,868,528,796,577,885,292,483,934,955,976,348,835,303,922,691,520,207
25,617,843,135,396,657,813,367,57,35,652,307,68,748,622,352,749,26,655,229
742,140,129,981,430,902,52,189,720,713,488,231,495,408,346,987,232,142,923,704
244,813,147,767,224,934,757,498,571,938,745,468,901,887,315,737,532,879,478,825
65,683,283,597,126,175,869,445,836,134,759,913,372,571,63,157,961,549,604,804
476,370,987,210,55,819,235,760,10,110,486,955,542,532,666,609,738,955,396,602
377,227,757,818,899,912,723,223,821,238,21,327,879,337,512,161,492,337,585,280
472,266,613,865,705,309,585,877,764,806,133,775,844,48,798,554,551,874,797,793
693,883,143,533,65,589,709,634,103,319,110,402,274,262,994,631,384,437,918,61
511,608,295,309,469,478,411,738,219,753,327,369,109,648,939,685,682,808,638,277
969,73,990,924,648,237,134,705,435,983,11,857,610,160,934,275,816,153,707,120
199,416,208,459,411,59,413,797,472,69,59,818,845,552,154,294,230,993,432,234
38,66,205,888,886,443,11,329,448,115,832,737,907,968,27,690,557,900,805,993
206,245,619,768,847,117,596,31,936,898,765,32,232,378,485,431,160,574,571,762
138,17,945,378,120,193,39,763,659,415,467,967,764,762,995,850,241,884,165,266
452,116,724,33,41,676,807,755,904,646,382,272,527,977,247,584,685,989,853,370
402,636,337,138,373,879,304,679,123,324,85,416,346,266,411,343,735,187,267,895
2,802,358,229,112,283,585,390,678,478,851,232,393,482,555,3,460,501,351,929
252,92,299,221,760,96,986,159,265,378,772,63,538,444,862,484,966,827,536,733
520,459,680,339,141,140,414,421,179,795,43,421,559,424,202,595,848,236,404,33
412,576,69,927,135,28,473,601,8,46,30,930,842,769,144,706,227,144,173,580
165,529,530,359,778,992,961,183,812,17,254,399,208,761,594,680,689,214,955,395
665,494,795,600,776,104,358,22,811,354,334,906,257,545,322,804,608,694,108,681
399,680,634,306,569,15,782,26,572,803,901,134,628,327,727,590,204,909,887,475
474,70,276,281,944,930,493,847,962,393,320,550,551,973,397,865,241,302,430,950
101,536,306,792,665,616,752,262,837,662,928,856,11,301,4,858,992,201,737,611
784,830,736,216,223,70,369,192,318,424,267,514,856,613,447,993,910,519,168,94
118,327,802,413,74,646,188,145,714,590,455,518,726,683,124,408,977,307,521,77
681,446,119,341,576,578,598,264,198,881,653,558,625,849,160,42,44,425,838,56
200,246,786,412,209,987,487,902,719,684,812,795,319,35,148,483,188,120,508,61
68,131,426,46,434,493,849,85,127,248,96,584,7,301,131,48,621,897,906,340
304,625,846,228,283,978,727,398,42,322,126,508,567,220,390,871,919,7,138,352
750,328,939,955,645,164,242,375,762,897,427,430,703,23,663,17,300,118,829,11
663,33,442,35,981,496,96,57,643,756,8,951,135,746,630,650,904,95,451,940
183,31,598,150,860,686,43,137,641,333,186,410,965,314,865,333,837,878,716,169
539,539,471,701,679,717,920,535,893,30,746,93,911,681,126,885,500,301,24,4
780,675,110,238,347,903,953,821,930,685,251,615,979,74,555,344,188,67,424,728
688,909,836,991,970,403,846,57,931,422,576,756,661,122,373,942,10,942,849,804
913,997,57,313,522,868,483,686,647,376,781,840,731,4,5,730,537,314,161,738
740,448,35,418,904,228,555,138,99,230,352,235,984,685,535,125,98,127,805,955
842,586,204,851,406,690,600,918,785,839,538,113,751,490,113,243,649,579,444,73
817,29,103,340,192,622,44,1,1,927,88,460,913,424,891,488,172,689,468,723
924,259,594,111,963,728,107,421,140,791,457,762,720,250,652,759,141,812,223,220
315,925,562,310,881,489,610,132,981,600,474,736,128,401,672,115,382,315,922,870
81,938,410,471,523,42,947,464,304,973,252,260,824,190,768,835,393,444,281,98
976,424,993,23,616,908,731,288,466,782,642,677,108,830,322,57,959,366,168,640
322,915,13,751,215,476,296,952,793,730,812,344,60,897,759,442,288,26,65,353
176,694,850,441,42,384,352,769,879,192,884,230,303,17,251,411,333,165,771,376
678,390,679,94,382,679,156,172,828,149,388,298,916,776,483,689,817,594,124,505
990,977,973,510,751,682,736,123,650,760,172,951,244,719,772,797,181,457,937,151
78,359,982,835,890,384,375,985,392,125,274,795,73,916,39,397,699,815,722,523
313,658,299,643,645,149,102,878,524,995,438,833,917,766,574,980,473,627,248,104
747,723,926,79,596,675,519,166,101,799,434,33,338,733,503,857,523,42,544,905
334,208,38,478,457,265,769,953,784,737,266,910,11,568,821,963,59,104,158,388
531,319,687,807,815,575,769,187,401,565,501,71,935,728,692,151,489,706,606,312
770,506,100,322,974,547,732,307,10,611,835,513,132,274,40,360,422,848,481,731
839,962,175,906,699,379,43,94,807,952,693,275,719,394,940,0,633,195,136,642
560,519,245,233,623,283,182,361,159,311,573,706,605,212,780,857,592,530,590,383
808,256,344,430,970,75,116,525,665,737,975,844,302,951,648,10,703,822,263,564
180,248,474,515,964,208,45,435,618,479,114,53,502,934,813,163,28,356,882,712
365,68,874,524,72,259,761,312,111,560,89,154,932,876,157,14,963,674,617,570
75,710,901,905,358,529,424,455,903,72,596,79,573,423,209,418,720,794,419,649
275,925,89,124,66,595,615,120,86,67,662,884,593,290,641,686,484,973,883,27
88,121,322,171,17,201,524,284,64,656,955,194,136,588,71,721,972,775,132,686
49,614,837,872,896,915,740,75,111,563,867,581,519,713,447,794,530,235,473,564
901,344,239,685,940,819,165,911,170,250,408,871,915,496,55,123,174,694,661,175
79,307,758,801,238,447,370,765,640,783,852,660,758,474,539,198,279,903,767,944
852,639,469,784,442,577,443,311,216,506,430,180,375,298,127,865,504,250,393,60
792,755,56,514,270,689,910,369,897,683,340,151,443,447,530,624,649,703,78,737
799,72,369,52,394,910,999,54,668,90,131,324,292,760,750,145,671,973,729,657
68,745,869,789,547,391,953,563,459,148,41,675,432,272,149,518,106,794,993,889
799,430,465,324,253,991,632,983,492,952,470,612,977,750,969,632,817,127,562,357
413,795,374,503,673,583,407,513,154,408,527,692,173,870,945,364,0,34,697,64
455,6,39,60,371,851,391,361,302,865,734,717,144,3,349,855,312,998,447,753
