algorithm,length,comps,swaps
bubblesort,100,9900,2627
bubblesort,100,9900,2278
bubblesort,150,22350,5704
bubblesort,150,22350,5096
bubblesort,200,39800,10572
bubblesort,200,39800,10096
bubblesort,250,62250,15504
bubblesort,250,62250,15121
bubblesort,300,89700,22577
bubblesort,300,89700,21949
bubblesort_2,100,9108,2470
bubblesort_2,100,9108,2333
bubblesort_2,150,21307,5473
bubblesort_2,150,19519,5664
bubblesort_2,200,37412,9808
bubblesort_2,200,35422,8853
bubblesort_2,250,57270,16997
bubblesort_2,250,58764,14547
bubblesort_2,300,87607,20814
bubblesort_2,300,83720,22130
bubblesort_plus,100,4950,1851
bubblesort_plus,100,4949,1618
bubblesort_plus,150,11175,3633
bubblesort_plus,150,11175,3509
bubblesort_plus,200,19897,5839
bubblesort_plus,200,19900,5751
bubblesort_plus,250,31124,7417
bubblesort_plus,250,31122,8018
bubblesort_plus,300,44849,10397
bubblesort_plus,300,44850,10156
