algorithm,length,t,comps,swaps
bubblesort_nocopy,10,4.1035853791981934e-05,90.0,21.8
bubblesort_nocopy,20,0.00011952315253438428,380.0,76.4
bubblesort_nocopy,30,0.00034582880180096255,870.0,119.35
bubblesort_nocopy,40,0.0005863383470568806,1560.0,172.5
bubblesort_nocopy,50,0.0006490900559583679,2450.0,206.4
bubblesort_nocopy,60,0.00102534980251221,3540.0,260.5
bubblesort_nocopy,70,0.0013727562472922727,4830.0,349.2
bubblesort_nocopy,80,0.0017827340954681859,6320.0,380.25
bubblesort_nocopy,90,0.0021199509996222333,8010.0,440.15
bubblesort_nocopy,100,0.0034451405997970143,9900.0,475.35
bubblesort_nocopy,250,0.02441587290231837,62250.0,13160.95
bubblesort_nocopy,500,0.11308670604776125,249500.0,47173.9
bubblesort2_nocopy,10,5.219402373768389e-06,9.0,0.0
bubblesort2_nocopy,20,8.234950655605644e-06,19.0,0.0
bubblesort2_nocopy,30,9.883100574370474e-06,29.0,0.0
bubblesort2_nocopy,40,1.188375026686117e-05,39.0,0.0
bubblesort2_nocopy,50,1.4119150000624358e-05,49.0,0.0
bubblesort2_nocopy,60,1.7021049279719592e-05,59.0,0.0
bubblesort2_nocopy,70,2.097094984492287e-05,69.0,0.0
bubblesort2_nocopy,80,2.155180409317836e-05,79.0,0.0
bubblesort2_nocopy,90,2.3805597447790205e-05,89.0,0.0
bubblesort2_nocopy,100,2.740639611147344e-05,99.0,0.0
bubblesort2_nocopy,250,7.265335298143328e-05,249.0,0.0
bubblesort2_nocopy,500,0.00013421280309557914,499.0,0.0
insertionsort3,10,4.2203300108667466e-05,65.0,0.0
insertionsort3,20,7.180794491432608e-05,230.0,0.0
insertionsort3,30,0.00014537235256284475,495.0,0.0
insertionsort3,40,0.00024190354888560251,860.0,0.0
insertionsort3,50,0.0005048637511208653,1325.0,0.0
insertionsort3,60,0.0005972290018689819,1890.0,0.0
insertionsort3,70,0.0011031258516595698,2555.0,0.0
insertionsort3,80,0.0010197440526098945,3320.0,0.0
insertionsort3,90,0.0013785034025204368,4185.0,0.0
insertionsort3,100,0.0015716821508249268,5150.0,0.0
insertionsort3,250,0.009968758601462468,31625.0,0.0
insertionsort3,500,0.0495451829963713,125750.0,0.0
