algorithm,length,t,comps,swaps
bubblesort,10,7.315000402741134e-05,90,19
bubblesort,10,8.37359984871e-05,90,36
bubblesort,10,0.00012463598977774382,90,21
bubblesort,10,5.4185016779229045e-05,90,26
bubblesort,10,4.5849999878555536e-05,90,25
bubblesort,10,7.571699097752571e-05,90,27
bubblesort,10,7.165400893427432e-05,90,24
bubblesort,10,0.00011813102173618972,90,28
bubblesort,10,7.422099588438869e-05,90,22
bubblesort,10,6.882500019855797e-05,90,30
bubblesort,20,0.00016651299665682018,380,98
bubblesort,20,0.00016039100592024624,380,119
bubblesort,20,0.00029340499895624816,380,104
bubblesort,20,0.00014093299978412688,380,90
bubblesort,20,0.00025848299264907837,380,104
bubblesort,20,0.00015345998690463603,380,102
bubblesort,20,0.00013327901251614094,380,80
bubblesort,20,0.000139334995765239,380,86
bubblesort,20,0.00013472698628902435,380,82
bubblesort,20,0.00014370499411597848,380,105
bubblesort,30,0.0005502809945028275,870,216
bubblesort,30,0.00036709100822918117,870,244
bubblesort,30,0.0003572999848984182,870,195
bubblesort,30,0.0003659260109998286,870,223
bubblesort,30,0.0004192920168861747,870,248
bubblesort,30,0.00031060000765137374,870,205
bubblesort,30,0.0003207690024282783,870,147
bubblesort,30,0.00032085299608297646,870,228
bubblesort,30,0.0003922909963876009,870,227
bubblesort,30,0.0006643470260314643,870,240
bubblesort,40,0.0006999539909884334,1560,362
bubblesort,40,0.0006360539991874248,1560,371
bubblesort,40,0.0005705039948225021,1560,377
bubblesort,40,0.0005488920141942799,1560,365
bubblesort,40,0.0005881130055058748,1560,438
bubblesort,40,0.0005417799984570593,1560,347
bubblesort,40,0.0005824130203109235,1560,382
bubblesort,40,0.0007701629947405308,1560,317
bubblesort,40,0.0005808109999634326,1560,382
bubblesort,40,0.0006245520198717713,1560,402
bubblesort,50,0.0008707880042493343,2450,514
bubblesort,50,0.0008795250032562762,2450,593
bubblesort,50,0.0009572769922669977,2450,612
bubblesort,50,0.0009631860011722893,2450,625
bubblesort,50,0.0009597800089977682,2450,726
bubblesort,50,0.0008635399863123894,2450,552
bubblesort,50,0.000911451003048569,2450,590
bubblesort,50,0.0008567750046495348,2450,538
bubblesort,50,0.0009290679881814867,2450,614
bubblesort,50,0.0010959880019072443,2450,519
