,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,95,10,4,62,12,97,56,82,21,68,31,97,54,45,85,53,58,12,54,49,40,89,81,27,7,20,1,93,62,67,61,51,84,86,22,62,68,35,53,40,62,4,89,61,98,61,97,48,25,76,3,82,47,15,56,13,20,82,4,77,87,8,87,74,10,92,7,74,81,32,58,23,96,11,45,11,20,33,3,64,2,67,0,93,58,56,87,31,2,71,37,86,17,89,44,46,74,16,72
1,15,32,16,69,1,96,26,41,20,31,90,92,87,93,44,76,47,32,52,59,45,12,90,86,60,71,90,87,5,53,39,50,54,73,55,94,5,78,4,83,27,9,98,0,50,30,38,74,1,24,99,88,48,6,83,13,88,55,73,90,64,48,17,79,80,81,9,29,13,12,85,67,20,75,28,24,28,89,18,82,44,74,37,29,62,24,7,2,42,85,81,57,79,25,25,41,8,63,10
2,35,9,64,97,7,61,57,69,45,82,74,75,91,8,53,3,42,48,21,35,9,29,25,91,24,94,74,7,59,86,89,20,72,51,15,52,19,16,82,86,83,78,97,20,42,80,10,41,6,41,96,22,33,30,81,40,38,41,30,72,54,42,7,67,88,40,6,2,82,44,69,5,64,45,56,9,24,88,34,67,89,15,7,55,80,85,90,49,37,67,28,98,33,47,29,46,40,60,89
3,17,43,66,6,1,14,17,53,58,5,25,44,21,58,52,58,76,83,14,25,67,18,58,40,76,43,40,70,70,35,29,62,64,7,79,55,63,92,13,76,72,10,94,61,8,19,70,25,20,51,85,0,96,64,25,53,3,77,74,27,51,3,90,79,17,20,15,65,91,71,47,98,71,95,29,32,34,39,58,44,87,42,59,49,52,23,76,60,85,65,42,5,69,49,35,13,84,16,61
4,44,59,99,48,41,86,26,68,28,62,59,96,22,92,4,2,90,93,71,95,15,1,18,68,90,78,52,92,40,5,68,84,61,69,78,7,35,70,5,86,87,91,33,1,21,85,58,2,86,75,56,58,56,96,83,97,87,48,74,11,0,75,80,47,88,41,77,94,35,73,78,20,86,53,73,42,15,4,12,4,28,77,0,79,68,92,26,29,53,56,62,31,11,64,96,34,89,4,52
5,33,11,14,14,75,4,77,90,66,99,36,78,61,27,45,95,88,25,80,84,92,34,62,0,95,30,48,56,20,35,71,36,20,98,7,97,43,51,15,14,0,73,0,72,37,42,57,22,75,14,93,40,71,58,38,73,82,34,96,54,61,39,70,67,22,30,43,91,54,55,89,93,14,69,18,23,28,14,9,9,37,48,71,16,28,65,85,91,71,62,51,9,17,39,11,71,65,93,18
6,62,13,82,23,62,17,69,63,24,61,48,36,21,64,72,20,65,95,62,65,99,13,12,36,28,85,84,96,80,11,91,44,25,69,1,68,91,64,74,22,55,48,78,61,38,67,46,36,12,7,11,22,49,41,9,42,18,14,88,71,89,80,93,75,94,13,34,9,69,96,61,77,49,61,55,92,60,92,22,83,99,81,82,4,1,53,46,43,73,24,16,77,59,30,46,8,66,77,67
7,47,45,75,59,80,56,59,75,80,46,0,19,74,0,56,78,12,17,69,53,60,17,88,57,30,22,69,93,35,19,83,19,11,95,18,78,84,34,52,62,40,39,48,97,46,85,15,2,3,81,57,10,21,47,68,22,31,33,38,5,31,38,30,51,60,60,24,37,2,53,11,70,94,11,41,17,5,21,6,65,35,25,75,72,38,8,43,19,75,6,96,33,80,96,97,85,94,67,77
8,3,79,6,94,17,56,90,19,38,30,19,46,85,48,34,36,56,33,24,6,31,89,10,28,48,12,50,98,62,67,52,36,9,40,40,42,43,24,96,93,59,8,60,3,81,60,74,69,7,83,67,3,94,63,70,20,73,77,12,63,43,55,13,41,96,4,87,96,80,51,97,34,20,55,47,60,81,34,67,27,40,96,74,55,28,16,81,72,12,14,60,58,57,58,31,54,19,37,78
9,73,39,17,72,19,27,93,95,77,25,64,32,37,58,83,82,95,83,38,16,43,76,93,43,79,45,40,32,70,79,51,20,54,36,49,91,74,6,46,15,38,19,29,67,98,75,56,69,80,2,85,3,33,28,96,30,58,55,83,16,14,45,14,6,10,80,47,37,18,84,70,49,32,70,78,99,39,3,64,61,13,84,41,31,85,50,92,53,92,66,50,91,93,17,72,84,50,20,95
