algorithm,length,t,comps,swaps
bubblesort_nocopy,10,3.826060419669375e-05,90.0,19.3
bubblesort_nocopy,20,0.00013879880280001088,380.0,97.7
bubblesort_nocopy,30,0.00037928804813418536,870.0,215.35
bubblesort_nocopy,40,0.0007032410008832813,1560.0,383.85
bubblesort_nocopy,50,0.0009455534003791399,2450.0,595.35
bubblesort_nocopy,60,0.0014463695988524705,3540.0,868.2
bubblesort_nocopy,70,0.0020177890517516063,4830.0,1188.8
bubblesort_nocopy,80,0.0024775007012067364,6320.0,1562.9
bubblesort_nocopy,90,0.003108531900215894,8010.0,1993.95
bubblesort_nocopy,100,0.004021876155456993,9900.0,2473.3
bubblesort_nocopy,250,0.02741195885464549,62250.0,15373.6
bubblesort_nocopy,500,0.10527387449837988,249500.0,61916.35
bubblesort2_nocopy,10,5.104798765387386e-06,57.6,19.3
bubblesort2_nocopy,20,7.1647998993285e-06,318.25,78.4
bubblesort2_nocopy,30,9.428900375496596e-06,678.6,117.65
bubblesort2_nocopy,40,1.224575244123116e-05,1359.15,168.5
bubblesort2_nocopy,50,1.5160853217821569e-05,2004.1,211.5
bubblesort2_nocopy,60,1.7232054960913957e-05,3162.4,272.85
bubblesort2_nocopy,70,2.1902751177549364e-05,4153.8,320.6
bubblesort2_nocopy,80,2.1819198445882647e-05,5332.5,374.1
bubblesort2_nocopy,90,2.4093349929898976e-05,7200.1,431.05
bubblesort2_nocopy,100,2.8328600456006826e-05,8652.6,479.35
bubblesort2_nocopy,250,6.432900263462216e-05,58091.7,12900.3
bubblesort2_nocopy,500,0.0001363719013170339,235328.4,46542.75
insertionsort3,10,2.559950080467388e-05,65.0,0.0
insertionsort3,20,6.843350129202009e-05,230.0,0.0
insertionsort3,30,0.00020621519797714427,495.0,0.0
insertionsort3,40,0.0002261961970361881,860.0,0.0
insertionsort3,50,0.0004084816013346426,1325.0,0.0
insertionsort3,60,0.0005976383021334186,1890.0,0.0
insertionsort3,70,0.0007549984016804956,2555.0,0.0
insertionsort3,80,0.0009799211009521968,3320.0,0.0
insertionsort3,90,0.0012960212930920533,4185.0,0.0
insertionsort3,100,0.001441438250185456,5150.0,0.0
insertionsort3,250,0.008706629650259857,31625.0,0.0
insertionsort3,500,0.03548009984951932,125750.0,0.0
