algorithm,length,t,comps,swaps
bubblesort,10,6.477601709775627e-05,90,20
bubblesort,10,7.73679930716753e-05,90,14
bubblesort,10,6.632599979639053e-05,90,15
bubblesort,10,7.310998626053333e-05,90,23
bubblesort,10,6.185797974467278e-05,90,15
bubblesort,10,7.29879830032587e-05,90,21
bubblesort,10,7.760000880807638e-05,90,25
bubblesort,10,0.00010620499961078167,90,26
bubblesort,10,7.693198858760297e-05,90,32
bubblesort,10,6.027999916113913e-05,90,11
bubblesort,20,0.00022625899873673916,380,83
bubblesort,20,0.00012470499495975673,380,60
bubblesort,20,0.00015004398301243782,380,83
bubblesort,20,0.00013405599747784436,380,80
bubblesort,20,0.00014688100782223046,380,76
bubblesort,20,0.00015224999515339732,380,75
bubblesort,20,0.00014959799591451883,380,81
bubblesort,20,0.00013646497973240912,380,100
bubblesort,20,0.00021652301074936986,380,102
bubblesort,20,0.00012862600851804018,380,82
bubblesort,30,0.00034112200955860317,870,181
bubblesort,30,0.0004137399955652654,870,158
bubblesort,30,0.0003209910064470023,870,161
bubblesort,30,0.0003610099956858903,870,199
bubblesort,30,0.0003327509912196547,870,165
bubblesort,30,0.00030806599534116685,870,192
bubblesort,30,0.0003396380052436143,870,201
bubblesort,30,0.0003206400142516941,870,235
bubblesort,30,0.0003296390059404075,870,251
bubblesort,30,0.00034032799885608256,870,223
bubblesort,40,0.0006011200021021068,1560,394
bubblesort,40,0.0005428940057754517,1560,339
bubblesort,40,0.0005389490106608719,1560,331
bubblesort,40,0.0005229949892964214,1560,304
bubblesort,40,0.0005680820031557232,1560,403
bubblesort,40,0.0005750959971919656,1560,359
bubblesort,40,0.0005831750167999417,1560,437
bubblesort,40,0.0006769070168957114,1560,444
bubblesort,40,0.0009171590209007263,1560,475
bubblesort,40,0.0005570000212173909,1560,376
bubblesort,50,0.0009561569895595312,2450,628
bubblesort,50,0.0008635959820821881,2450,559
bubblesort,50,0.0009257940109819174,2450,610
bubblesort,50,0.001070366008207202,2450,520
bubblesort,50,0.0013053160218987614,2450,635
bubblesort,50,0.0009678080095909536,2450,615
bubblesort,50,0.0010500630014576018,2450,707
bubblesort,50,0.000982900004601106,2450,767
bubblesort,50,0.0010720800200942904,2450,726
bubblesort,50,0.0017866400012280792,2450,638
bubblesort,60,0.0017700989847071469,3540,841
bubblesort,60,0.0015010159986559302,3540,797
bubblesort,60,0.002301569009432569,3540,903
bubblesort,60,0.0022422790061682463,3540,807
bubblesort,60,0.002647293993504718,3540,907
bubblesort,60,0.001881689007859677,3540,838
bubblesort,60,0.0038408330001402646,3540,1036
bubblesort,60,0.002803824987495318,3540,1024
bubblesort,60,0.0013605409767478704,3540,973
bubblesort,60,0.001791852992027998,3540,852
bubblesort,70,0.001893749984446913,4830,1065
bubblesort,70,0.0019017629965674132,4830,1112
bubblesort,70,0.002556188002927229,4830,1253
bubblesort,70,0.0020075119973625988,4830,1178
bubblesort,70,0.0019974239985458553,4830,1278
bubblesort,70,0.0019675579969771206,4830,1191
bubblesort,70,0.0020414240134414285,4830,1337
bubblesort,70,0.002017177001107484,4830,1380
bubblesort,70,0.0022376790002454072,4830,1298
bubblesort,70,0.0022413560072891414,4830,1234
bubblesort,80,0.0028690070030279458,6320,1328
bubblesort,80,0.0023675159900449216,6320,1376
bubblesort,80,0.0027112099924124777,6320,1660
bubblesort,80,0.0031086189846973866,6320,1441
bubblesort,80,0.002915399003541097,6320,1742
bubblesort,80,0.0035486800188664347,6320,1539
bubblesort,80,0.002912416006438434,6320,1783
bubblesort,80,0.003936039021937177,6320,1672
bubblesort,80,0.003095678985118866,6320,1670
bubblesort,80,0.0027735770272556692,6320,1626
bubblesort,90,0.002809208002872765,8010,1689
bubblesort,90,0.003023266006493941,8010,1709
bubblesort,90,0.00349726399872452,8010,2035
bubblesort,90,0.0029704140033572912,8010,1830
bubblesort,90,0.003449270996497944,8010,2170
bubblesort,90,0.0030610589892603457,8010,2085
bubblesort,90,0.0038287490024231374,8010,2232
