,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0,90,97,30,26,16,8,51,72,18,70,30,19,3,45,24,21,51,89,76,11,25,1,68,23,98,18,19,4,47,6,15,20,62,41,34,51,35,35,53,78,58,55,20,8,48,65,72,70,73,31,95,0,33,35,84,6,75,35,53,72,16,98,78,18,31,25,72,66,53,11,87,8,94,2,94,87,67,79,53,21,96,97,87,82,62,76,13,52,23,84,35,3,40,69,75,20,87,63,12
1,69,48,30,96,88,42,77,77,56,19,25,65,15,72,17,48,96,41,38,53,0,69,2,56,51,32,87,64,96,29,61,49,3,47,44,30,60,92,0,3,5,42,75,17,79,87,32,78,63,81,83,57,63,65,64,38,56,11,72,11,36,12,86,29,53,42,85,22,31,81,63,38,85,60,14,87,3,99,13,94,45,42,13,5,33,28,43,6,1,5,28,74,9,27,68,33,47,37,27
2,72,40,62,2,85,58,11,61,2,7,2,15,47,26,96,95,54,11,47,25,52,44,86,97,18,84,80,92,73,17,51,29,75,18,32,15,50,76,77,98,81,30,87,59,80,63,87,89,76,89,37,13,2,25,5,24,69,55,39,13,87,35,29,84,30,45,75,55,42,80,41,22,2,97,40,55,91,74,2,5,76,61,20,61,5,21,64,62,80,68,84,43,58,12,13,20,94,9,29
3,64,78,13,27,7,22,13,46,87,34,81,54,7,39,18,1,4,49,26,17,38,20,28,6,42,9,74,2,97,2,16,27,38,69,28,9,57,11,16,77,43,31,11,14,8,97,59,17,95,83,69,62,38,72,22,57,82,4,5,70,44,75,63,11,73,65,4,98,50,81,97,44,51,44,8,62,30,68,72,21,23,86,53,65,90,70,32,67,5,93,56,60,40,6,70,12,80,55,92
4,83,19,15,14,42,84,67,32,28,6,42,66,99,92,36,82,98,66,52,36,29,52,71,41,39,57,2,73,14,77,16,87,37,77,75,94,79,23,43,64,46,68,74,73,55,77,78,16,86,42,25,9,89,4,11,79,47,64,61,87,74,44,98,60,46,9,62,23,0,84,27,9,75,57,28,18,23,96,62,15,40,17,52,2,42,88,95,72,36,92,60,71,71,48,86,33,47,12,86
5,86,89,88,38,81,58,14,21,0,22,21,25,22,13,14,87,15,81,9,58,0,32,98,88,22,66,10,60,22,41,44,5,90,65,86,12,67,24,70,53,79,1,54,21,34,64,66,73,50,25,16,93,15,34,96,10,28,66,40,40,91,57,54,54,91,56,67,96,93,9,87,62,65,50,90,39,93,44,25,26,62,41,63,90,97,35,74,80,91,75,45,86,39,66,31,28,90,25,8
6,5,32,28,53,17,63,72,15,70,54,10,97,92,67,96,51,45,11,88,31,91,98,47,35,71,38,52,8,66,37,94,11,18,57,91,25,31,90,56,13,26,65,58,72,16,12,75,92,60,28,21,71,47,48,32,93,72,21,96,8,86,35,88,90,99,78,86,90,80,64,79,47,94,40,67,56,75,93,96,14,68,68,29,67,61,63,91,39,17,53,78,58,72,51,4,16,91,19,90
7,80,90,96,56,86,53,72,74,36,85,31,67,87,26,98,68,18,11,54,26,45,35,72,73,81,94,95,15,66,29,44,97,19,60,83,25,71,40,22,75,58,45,7,84,92,66,18,96,35,29,80,33,4,74,93,86,5,29,26,11,19,46,71,92,12,65,19,54,67,95,99,41,40,68,63,11,62,71,28,64,62,69,38,48,33,14,10,67,3,70,33,13,55,36,80,84,91,12,72
8,24,89,30,20,18,76,84,82,96,71,74,41,44,71,43,93,5,95,22,59,41,84,4,35,98,55,23,87,34,65,98,26,98,18,27,41,86,37,38,96,10,89,74,53,63,90,49,1,12,43,34,24,79,5,98,27,87,32,80,12,5,8,54,19,88,14,42,34,77,98,40,91,38,36,57,46,74,64,58,52,0,82,49,70,97,73,75,49,30,9,77,10,3,61,22,32,76,84,94
9,30,5,77,95,56,55,23,77,48,34,54,67,38,48,73,58,0,41,56,36,22,64,63,40,75,20,42,59,50,74,1,96,90,79,1,1,85,73,89,1,60,97,46,76,70,75,40,33,59,72,82,28,7,72,5,32,13,57,7,14,41,4,52,3,19,43,75,12,92,3,53,91,38,12,97,6,55,9,89,39,90,57,2,26,47,63,13,99,68,51,90,75,95,45,38,90,89,93,8
