algorithm,length,t,comps,swaps
bubblesort,10,0.0004791329018189572,90.0,29.5
bubblesort,25,0.008589742498588748,528.0,166.5
bubblesort,50,0.01210208000120474,1935.5,624.0
bubblesort,100,0.045483394799521196,8959.5,2453.0
bubblesort,150,0.10604960640339414,19221.0,5206.5
bubblesort,200,0.18734708500123815,37412.0,9499.5
bubblesort,250,0.29814352140092526,57270.0,15953.5
bubblesort,300,0.4351265620964114,77889.5,21713.5
insertionsort,10,0.0002768904028926045,34.5,9.5
insertionsort,25,0.0022457929982920176,300.0,181.5
insertionsort,50,0.00674215559993172,1225.0,521.0
insertionsort,100,0.027654483397782315,4950.0,1685.5
insertionsort,150,0.055551095599366815,11175.0,3650.5
insertionsort,200,0.11425402019958711,19900.0,5844.0
insertionsort,250,0.16178831480501685,31125.0,7976.0
insertionsort,300,0.20935247920133407,44850.0,10232.5
insertionsort2,10,0.0008982917992398143,55.0,8.0
insertionsort2,25,0.002046266800607555,325.0,23.5
insertionsort2,50,0.0063531029023579325,1275.0,42.5
insertionsort2,100,0.02347496740112547,5050.0,95.0
insertionsort2,150,0.04673956340266159,11325.0,141.5
insertionsort2,200,0.08296134149713907,20100.0,193.5
insertionsort2,250,0.12521965540072416,31375.0,244.0
insertionsort2,300,0.18286619750288083,45150.0,291.5
insertionsort3,10,0.0005862595018697903,55.0,6.5
insertionsort3,25,0.001217437902232632,325.0,21.0
insertionsort3,50,0.004687612499401439,1275.0,44.5
insertionsort3,100,0.017023122297541705,5050.0,96.0
insertionsort3,150,0.041680157200607935,11325.0,144.0
insertionsort3,200,0.06051127920363797,20100.0,195.0
insertionsort3,250,0.08714835229766323,31375.0,239.0
insertionsort3,300,0.12885649869567714,45150.0,291.0
