algorithm,length,t,comps,swaps
bubblesort,10,7.901050266809762e-05,90.0,25.8
bubblesort,20,0.00017242309695575386,380.0,97.0
bubblesort,30,0.00040687500440981237,870.0,217.3
bubblesort,40,0.0006143236038042233,1560.0,374.3
bubblesort,50,0.000928737799404189,2450.0,588.3
bubblesort,60,0.0019673991948366163,3540.0,866.3
bubblesort,70,0.002390125600504689,4830.0,1187.3
bubblesort,80,0.0024023487960221244,6320.0,1551.7
bubblesort,90,0.003042503003962338,8010.0,1957.8
bubblesort,100,0.00488755610131193,9900.0,2451.0
bubblesort,150,0.009434123907703906,22350.0,5391.4
bubblesort,200,0.01508083829539828,39800.0,9835.3
bubblesort,250,0.03801068129832856,62250.0,15326.1
bubblesort,300,0.045288526997319424,89700.0,22151.6
bubblesort,350,0.05190784949809313,122150.0,29860.7
bubblesort,400,0.07562201390101109,159600.0,39192.4
bubblesort,450,0.09835622769896872,202050.0,50099.1
bubblesort,500,0.1259560484031681,249500.0,61734.7
bubblesort2,10,3.837640106212348e-05,76.5,25.8
bubblesort2,20,0.00018812610069289802,307.8,97.0
bubblesort2,30,0.00035998449311591685,713.4,217.3
bubblesort2,40,0.0005423077062005177,1310.4,374.3
bubblesort2,50,0.0008604781003668904,2097.2,588.3
bubblesort2,60,0.0012854154978413136,3079.8,866.3
bubblesort2,70,0.0017281737935263663,4167.6,1187.3
bubblesort2,80,0.002258217104827054,5466.8,1551.7
bubblesort2,90,0.0029674020945094524,6942.0,1957.8
bubblesort2,100,0.0034832504985388368,8563.5,2451.0
bubblesort2,150,0.00845805850403849,19995.8,5391.4
bubblesort2,200,0.014791897300165146,36576.2,9835.3
bubblesort2,250,0.02416763679939322,58141.5,15326.1
bubblesort2,300,0.03517830199853052,83450.9,22151.6
bubblesort2,350,0.05518895290442742,115519.0,29860.7
bubblesort2,400,0.07121327250206377,149585.1,39192.4
bubblesort2,450,0.11063458108983468,190869.9,50099.1
bubblesort2,500,0.11268894820823334,238272.5,61734.7
insertionsort2,10,5.103170115035027e-05,65.0,6.8
insertionsort2,20,0.00011135400272905826,230.0,16.4
insertionsort2,30,0.0002022680011577904,495.0,26.5
insertionsort2,40,0.00031515359878540037,860.0,35.5
insertionsort2,50,0.0004769826045958325,1325.0,45.3
insertionsort2,60,0.0006573343009222299,1890.0,55.7
insertionsort2,70,0.001245849995757453,2555.0,66.5
insertionsort2,80,0.0016792887065093965,3320.0,74.9
insertionsort2,90,0.001869025398627855,4185.0,83.5
insertionsort2,100,0.0022095095948316155,5150.0,95.8
insertionsort2,150,0.003812181600369513,11475.0,145.0
insertionsort2,200,0.006911788799334318,20300.0,192.9
insertionsort2,250,0.012099028198281302,31625.0,243.7
insertionsort2,300,0.018349686099099927,45450.0,292.4
insertionsort2,350,0.023430996993556618,61775.0,344.1
insertionsort2,400,0.03174135060107801,80600.0,393.6
insertionsort2,450,0.04087185800017323,101925.0,442.5
insertionsort2,500,0.04197264090180397,125750.0,493.2
insertionsort3,10,3.511049726512283e-05,65.0,6.8
insertionsort3,20,9.222109511028976e-05,230.0,16.4
insertionsort3,30,0.0001510011003119871,495.0,26.5
insertionsort3,40,0.0002450014959322289,860.0,35.5
insertionsort3,50,0.000379941298160702,1325.0,45.3
insertionsort3,60,0.0005112083948915824,1890.0,55.7
insertionsort3,70,0.0007111968996468931,2555.0,66.5
insertionsort3,80,0.0009536567988106981,3320.0,74.9
insertionsort3,90,0.0011434034007834271,4185.0,83.5
insertionsort3,100,0.0017311277944827453,5150.0,95.8
insertionsort3,150,0.004655252399970777,11475.0,145.0
insertionsort3,200,0.005678219796391204,20300.0,192.9
insertionsort3,250,0.008592713295365683,31625.0,243.7
insertionsort3,300,0.01292666069639381,45450.0,292.4
insertionsort3,350,0.01704165700066369,61775.0,344.1
insertionsort3,400,0.025784182298230006,80600.0,393.6
insertionsort3,450,0.032795535397599454,101925.0,442.5
insertionsort3,500,0.03832414029457141,125750.0,493.2
