algorithm,length,t,comps,swaps
bubblesort_nocopy,10,4.795001586899161e-05,90,21
bubblesort_nocopy,10,3.438000567257404e-05,90,12
bubblesort_nocopy,10,4.084798274561763e-05,90,28
bubblesort_nocopy,10,5.4935982916504145e-05,90,17
bubblesort_nocopy,10,3.661200753413141e-05,90,20
bubblesort_nocopy,10,3.4410011721774936e-05,90,17
bubblesort_nocopy,10,3.606700920499861e-05,90,19
bubblesort_nocopy,10,3.163298242725432e-05,90,9
bubblesort_nocopy,10,3.414202365092933e-05,90,11
bubblesort_nocopy,10,3.717999788932502e-05,90,18
bubblesort_nocopy,10,3.9803009713068604e-05,90,24
bubblesort_nocopy,10,4.1090999729931355e-05,90,27
bubblesort_nocopy,10,3.302202094346285e-05,90,11
bubblesort_nocopy,10,3.9045000448822975e-05,90,25
bubblesort_nocopy,10,3.606700920499861e-05,90,18
bubblesort_nocopy,10,3.303200355730951e-05,90,11
bubblesort_nocopy,10,3.666800330393016e-05,90,20
bubblesort_nocopy,10,4.118602373637259e-05,90,30
bubblesort_nocopy,10,4.091497976332903e-05,90,29
bubblesort_nocopy,10,3.622501390054822e-05,90,19
bubblesort_nocopy,20,0.0001561430108267814,380,96
bubblesort_nocopy,20,0.00014293799176812172,380,94
bubblesort_nocopy,20,0.0001498060009907931,380,113
bubblesort_nocopy,20,0.0001310319930780679,380,69
bubblesort_nocopy,20,0.0001609710161574185,380,128
bubblesort_nocopy,20,0.00013281102292239666,380,91
bubblesort_nocopy,20,0.0001263060257770121,380,75
bubblesort_nocopy,20,0.00011906001600436866,380,58
bubblesort_nocopy,20,0.00014554301742464304,380,122
bubblesort_nocopy,20,0.00014327000826597214,380,117
bubblesort_nocopy,20,0.00014843500684946775,380,128
bubblesort_nocopy,20,0.00013730599312111735,380,103
bubblesort_nocopy,20,0.00012145101209171116,380,66
bubblesort_nocopy,20,0.00014096798258833587,380,111
bubblesort_nocopy,20,0.0001326389901805669,380,92
bubblesort_nocopy,20,0.00012356098159216344,380,69
bubblesort_nocopy,20,0.00014083099085837603,380,113
bubblesort_nocopy,20,0.00014364099479280412,380,117
bubblesort_nocopy,20,0.0001431989949196577,380,103
bubblesort_nocopy,20,0.00013606500579044223,380,89
bubblesort_nocopy,30,0.00036835900391452014,870,201
bubblesort_nocopy,30,0.0005525830201804638,870,231
